Title,Rating,Genres,Rank,Year,Air Date,Episodes,Duration,Watchers,Tags,Synopsis,Cast,Network,Review
Hororong Story,,,56988,2016.0,2016.0,3,,,,'Hororong Story' is a short web-drama telling the story of three people whose lives change after purchasing items from a convenience store. Ji-U will be playing the role of a cashier at the store. ,"Hwang Man Ik, JiU, Jung Jin Wook",Naver TV Cast,
Horror Delivery Service,,,56506,2016.0,2016.0,7,,,,"""Horror Delivery Service"" is a mini-thriller. Once in a while, everyone has eerie imaginations about things that could happen in familiar settings -- a family apartment, on an elevator, on the way home from class and by the relaxing river. In each stand-alone episode, those imaginations are turned into urban tales that shatter the peace and normality of everyday life. (Source: VIU) ",,,"Horror Anthologies are hard....  Horror anthologies are popular, and I've seen too many horror ones to count, on a whole Horror Delivery Service isn't anything groundbreaking, it is surprisingly well made. Production value is high, and while the segments are short...really short, the wrap-around is one of the better ones I've seen in an anthology. It feels like the stories take place in the same universe, and there is little callbacks in each instalment. The narrative is somewhat vague, but with a run time of 45 min all told it dosen't lend itself to much aside from some creeping dread and jump scares. Overall it worth a watch if you're looking for something to kill some time and you enjoy a horror."
Horror Mailbox,,,47754,2021.0,2021.0,8,,,,"Dread Mailbox is drama created, based on the calls and stories  of viewers, recorded through phone number 1855-0666.  It can be real experiences, stories heard somewhere, or imaginary ghost stories. Number is still active, and network encourages to continue sharing stories, using it. Each of the people whose story was featured in the series was awarded an airpod.(Source: Youtube site of 스튜디오 룰루랄라- studio lululala)",,,"Conceptually Interesting   The premise is interesting, voice over of 'real life' scary stories, while the story is acted.  Short stories via YouTube which lends its self to the more conceptual format.  There aren't many though,  would be better if stories could keep getting added to it, maybe they will?  The description seems to lean towards this being an ongoing  project where people call in with their stories and they get made. Not a huge time commitment, watch them in less than hour, they aren't overly scary, but surprisingly have a high production value.  Not the worst thing I've watched on YouTube, but I was more interested in how it was presented, they could do a lot more with the concept if they really leaned into it."
Horror Monday,,,58054,2019.0,2019.0,5,,,,'Horror Monday' takes you through five horror stories narrated by the protagonist's AI Speaker.(Source: Korean = GOLDENBROTHER ORIGINAL Youtube Channel || Translation = MyDramaList) ,Choi Ji Hui,,
Hospital Playlist,9.1,"Comedy, Drama, Friendship, Life, Medical, Romance",#3,2020.0,2020.0,12,90.0,119851.0,"Best Friends, Bromance, Friendship, Healing, Hospital, Multiple Couples, Multiple Mains, Music, Nice Male Lead, Slight Romance, Slow Romance, Smart Female Lead, Strong Female Lead, Strong Friendship","The stories of people going through their days that are seemingly ordinary but actually special, at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets their ending. The five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.","Jeon Mi Do, Jo Jung Suk, Jung Kyung Ho, Kim Dae Myung, Shin Hyun Bin, Yoo Yeon Seok","Netflix,  tvN ","The greatest cast delivered us the greatest medical show up to date.  Let's be grateful for the perfection this drama is. No power struggle plot lines, no over the top unrealistic medical cases, no flawless doctors with such amazing skills they could be called superpowers. What weve got is a realistic representation of a hospital as a workplace with a brilliantly written set of original characters and smart comedy with depth and heart intertwined. I could not ask for more.Some might argue that the characters were too perfect, but if anything, they were perfectly written. They still had their flaws, but I wasnt slapped across the face with them. They were insecure at times, scared, and didn't know how to communicate with others. Their small struggles and mistakes they made never annoyed the viewers, because they were realistic and made sense. Rather than frustrating everyone, it made the characters extremely relatable.The acting was A+... I truly dont think we need to discuss that. With that cast you can expect outstanding performance and still be surprised with how good the end result is.Is there anything that could be considered a flaw in it?Yes and No. I think it depends on what you are expecting to see. There is no one leading plot line. Its simply the daily life of the characters. Each one of them has something going on, but except for their friendship, there isnt any big conspiracy linking them together. One could say its a slow paced drama, but with shows like that, talking about pace doesnt make much sense. Since the plot does not progress in a typical sense (from point A to point B), we cant talk about its pacing. Its for sure character driven, and I myself love it.Whats more, the cast of characters is huge and it might feel overwhelming at first - trying to remember who is who and how they are all connected. I have an advice for you: just watch. Do not try to remember and recognize every intern, student, doctor, nurse or patient. Its not necessary. You dont need to remember with great detail who said certain lines. There is no mystery to be solved, no puzzles to create a perfect picture. You can treat it as if you just started interacting with a new group of friends - as the drama progresses, you will slowly learn the names, personalities and motivations of these people. There is no need to stress yourself about being confused at first.For me this drama was perfect. Im sad that some of my ships did not sail, but it also makes sense that they did not go with the most obvious choice. A clean 10/10. I just finished it, and yet I want to rewatch it right away."
Hospital Playlist ,9.1,"Drama, Life, Medical, Romance",17,,2020.0,12,,81568.0,"Bromance, Healing, Heartfelt, Multiple Couples, Multiple Mains, Nice Female Lead, Nice Male Lead, Slight Romance, Slow Romance, Strong Female Lead","The stories of people going through their days are seemingly ordinary but actually special at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets its ending. The five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.","Jeon Mi Do, Jo Jung Suk, Jung Kyung Ho, Kim Dae Myung, Yoo Yeon Seok",,
Hospital Playlist 2,9.1,"Friendship, Life, Medical, Romance",#4,2021.0,2021.0,12,100.0,,"Band, Best Friends, Comedy, Hospital, Multiple Couples, Multiple Mains, Music, Strong Female Lead, Strong Friendship, Workplace","Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.","Jeon Mi Do, Jo Jung Suk, Jung Kyung Ho, Kim Dae Myung, Shin Hyun Bin, Yoo Yeon Seok","Netflix,  tvN ",
Hospital Playlist Season 2,9.1,"Drama, Life, Medical, Romance",14,2021.0,2021.0,12,,43574.0,"Band, Bromance, Cardiovascular Disease, Comedy, Multiple Couples, Multiple Mains, Music, Smart Female Lead, Strong Female Lead, Workplace Setting","Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.","Jeon Mi Do, Jo Jung Suk, Jung Kyung Ho, Kim Dae Myung, Shin Hyun Bin, Yoo Yeon Seok",Netflix tvN,"Great friendship, draggy unnecessary emotional porn....   This drama has allot of good parts but also ALLOT of draggy emotional lectures that seem to be there to  show us how doctors should talk to their patients surrounded by all things that seem to be there so the audience will feel  emotional... but instead of emotional it just made me tierd sick and brought out my less pacifistic side... It is ofcourse nice to see doctors actually doing their job in a medical drama, putting the patients and their needs first but it just gets to be to much. The way it is edited  and added violins and pianos here and there is supposed to bring out the tears but just felt artificill and had the opposite affect on me.  The amount of times people in the drama say thank you or apologize would make a lethal drinking game, that not a single person could survive. What the drama does well is showing allot of types of bonds and friendships between both the patients, their families and the main cast making way for both  extremely slow paced romance, bromance, romance , finding comfort in a person in the same situation at the hospital, etc... The 5 friends are playful, fun to watch and just make you wish you where part of their band. I love that they make way for the female lead to sing even though her singing is just awful, I love the way they use rain to make beautiful emotional scenes (yes some emotional scenes where done well) , i love the food and I love the camping scenery.  All things that almost made up for the annoying never ending lectures.. to be honest friendship 10 stars, lectures 5 stars, romance 9 stars.... becomes 8 stars all together. But in a way I find myself wanting to say I am not mad at the creators I am just disappointed..."
Hospital Ship,,,2728,2017.0,2017.0,40,,,,"Army doctors board a hospital ship, which is a floating hospital that serves people who live on remote islands. But were these doctors interested in helping underprivileged people for free? Not at all. There is the non-army doctor Eun Jae, a cold perfectionist surgeon whose fast-track career was derailed. Kwak Hyun who practices internal medicine is the first army doctor to volunteer for duty on the hospital ship. Then there is the irritating Jae Geol, an oriental medicine doctor who drew the short straw and now has to serve on the hospital ship. A bunch of doctors with different backgrounds finds themselves afloat at sea. They are too old to be called youthful doctors as they are all in their thirties. Though they have skills obtained through long years of studying in medical school, their hearts and souls are barren. This is a coming-of-age story about doctors who have experienced setbacks in life that they are trying to bounce back from while they learn how to be a compassionate doctor and pursue fulfilling lives.(Source: MBC America)","Ha Ji Won, Kang Min Hyuk, Kim Kwang Gyu, Kim Tae I, Lee Seo Won, Mina",MBC,"Solid enough, but could have been better  The pacing was a bit wobbly and the medical side felt extremely under-researched. Medical dramas are one of my passions in life and I've watched pretty much all of them this side of the Greenwich meridian. And I'd like to believe I've gained at least a little bit of knowledge through the years, so them doing open surgeries during this show without using any blood or fluids other than saline, people getting up and walking around after undergoing major surgery, and the fake ass organs they used were quite glaring and difficult for me to overlook. I wished they'd done more research and allocated a bigger budget for the practical effects.But the cast did a great job. Honestly, Eun Jae was a bit exhausting in her ""I don't need anyone and can do it all by my self"" attitude, but I really liked the rest of the characters, and in any case Ha Ji Won still did a fantastic job. I feel like Eun Jae was what her character in King 2 Hearts should have been. And Kang Min Hyuk! OMG was a precious little mochi ball. The kindest, sweetest most adorable fictional doctor to ever grace my screen. He deserves more roles as the main character in more romance dramas.In conclusion, it was good, but it could have been better. But, if you like medical dramas with a side of romance, I think you'll enjoy this show."
Hot Stove League,8.7,"Drama, Melodrama, Sports",#64,2019.0,2019.0,16,62.0,,"Baseball, Calm Male Lead, Corruption, General Manager, Hardworking Female Lead, Hardworking Male Lead, Successful Male Lead, Teamwork, Tough Male Lead, Workplace","About the preparation period of a major league baseball team. The drama focuses on a loser team that prepares for an extraordinary season upon the arrival of their new general manager, and each episode will focus on a problem they have as they prepare to become a stronger team.","Cho Byeong Kyu, Kim Do Hyun, Namkoong Min, Oh Jung Se, Park Eun Bin, Son Jong Hak",SBS,"This is not strictly a sports drama. It's a political and power-struggle drama that is happening in a baseball profession setting. I know nothing about baseball, but I was never, not even once, confused about the plot because of my lack of expertise. So, if the minimum interest you may have in sports is the reason you are on the fence whenever you should watch this show, rest assured, its far more than just baseball.It has one of the best varieties of different characters representing different viewpoints. The supporting cast is not just a background for the main character to shine. They all have individual stories to tell that are well incorporated into the main plot. As much as they are shaped by Baek Seung Soos decisions and actions, he himself is also affected by people around him. Its an amazing group dynamic that makes you care for every and each character.For a drama focused on the sport, it deals with a lot of different, important topics like: women in positions of power and workplace, nepotism, disability, patriotism, family versus work. All in a really natural and not in your face manner. This way you can enjoy the depth of the story without feeling lectured and patronized.The cast did an amazing job in bringing these characters to life. While Im not the biggest fan of Nam Goong Min, I loved him in the role of Baek Seung Soo and I could not picture any other actor playing it. While at the beginning Seung Soo was a bit mysterious of a character, and it was not easy to figure out his motivation, as we progress more into the story, we can discover how gentle and simply good of a person he is.I also truly enjoyed how much of a loser the main villain was. He was not this powerful, all knowing, smart and cunning mastermind. He was a power hungry man who was willing to give up his integrity to keep the social status he was able to achieve. Extremely scared, extremely cowardly, extremely desperate.It had its fair share of character development, making me, by the end of the drama, love a character that I despised at the beginning. We see a truly natural and gradual change in our main character, as he slowly opens to people and is willing to let go of his fears and struggles.Overall, I thought it would be a sure drop from me, and I gave it a chance only because I adore Park Eun Bi, and yet, I enjoyed every second of it. The strongest point of the drama is for sure the amazing cast and set of main and supporting characters. I fell for more than one character and will come back to at least rewatch some scenes from time to time."
Hot Stove League ,8.7,"Drama, Melodrama, Sports",224,,2019.0,16,,20925.0,"Baseball, Calm Male Lead, Competition, Corruption, Hardworking Female Lead, Hardworking Male Lead, Smart Male Lead, Successful Male Lead, Teamwork, Tough Male Lead","About the preparation period of a major league baseball team. The drama focuses on a loser team that prepares for an extraordinary season upon the arrival of their new general manager, and each episode will focus on a problem they have as they prepare to become a stronger team.
Se Young is the youngest head of the management team of Dreams, a cellar-dwelling baseball team. She's highly recognized for her perseverance and intense passion for the team. One day, Seung Su is appointed as a general manager. Although he's been working in the sports field, the teams he led to the championship were unpopular, and some of them were even disbanded after winning the league due to the financial difficulties of their parent companies. Would this unlucky new general manager be able to steer Dreams to the championship with passionate Se Young?
Han Jae Hee, an energetic man, who is the grandson of a furniture maker. Kim Young Chae, who is a softball player turned sports announcer. Yoo Min Ho, a pitcher, who is crazy about baseball.","Cho Byeong Kyu, Namkoong Min, Oh Jung Se, Park Eun Bin",,
Hot and Sweet,,,7838,2016.0,2016.0,8,,,,"The romantic-comedy tells the story between a pretty boy food truck owner who settles in a spot by the Gangwon beach, and the mysterious and wacky lady he meets.(Source: IMDb) ","Choi Min Hwan, Jung Yi Rang, Lee Bit Na, Lee Kang Jae, Seo Hye Jin, Yuna",Naver TV Cast,"Since this is a web drama, it lacks the depth that one might find in a normal 16-20 episode run; nonetheless, I walked into this drama with absolutely the lowest expectations (web dramas disappoint me too often) and left with a keen appreciation of Hot and Sweet.AOA's Yuna is too darn cute, and while her character is a bit annoying at times and some of her actions confused me, she portrayed the character well for 8 short episodes. Choi Min Hwan did a great job as the male lead, who was flawed too, but nonetheless, he and Yuna's chemistry was fun to watch on screen; when they were cute, they were REALLY cute.  The ending was very rushed, however, as lots of web dramas are, but the very last few minutes of the drama exceeded my expectations. I wish the characters had a chance to be more fleshed out and I wish the writers had time to give us more background on each character, but alas, that is the struggle of the web drama.I gave the drama an 7.5 mostly because I did walk in with such low expectations and was actually pleasantly surprised by the end result.Also, I advise you not to watch the drama HUNGRY, because all the food made my stomach growl sooooo much; the burgers looked absolutely scrumptious. If you want to watch a short, mini drama that displays beautiful food and a cute couple, I recommend this one! It's not too deep and entertains quite well."
Hotel del Luna,8.67,"Comedy, Fantasy, Horror, Romance",#63,2019.0,2019.0,16,79.0,183598.0,"Boss-Employee Relationship, Cold Woman, Death, Flashback To Past, Ghost, Ghost-seeing Male Lead, Hotel, Immortal, Nice Male Lead, Rich Female Lead, Smart Female Lead, Strong Female Lead, Strong Friendship, Supernatural, Warm Man","Nestled deep in the heart of Seoul’s thriving downtown sits a curious hotel, the like of which no one has ever seen before. Old beyond measure, the building has stood for millennia, an ever-present testament to the fact that things are not always what they seem. Running this hotel is Jang Man Wol, a greedy, suspicious soul who has spent the past thousand years acting as the establishment’s CEO. Bound to the hotel by a deity who keeps her there to save her from going berserk and self-destruction with rage, hatred and thirst for revenge. Her only hope of escape is if she could let go of her resentment and hatred, and find love. Trapped in her resentment for a betrayal, Man Wol is doomed to spend all of the eternity running this odd establishment, catering to the needs of the most peculiar clientele. ","Bae Hae Seon, IU, Jo Hyun Chul, P.O, Shin Jung Keun, Yeo Jin Goo",tvN,"I am not going to lie, I felt extremely frustrated while watching this drama. It had amazing potential, but close to nothing worked out. The beauty - amazing cinematography and styling of our main character, and the beast - the writing.There honestly  is not much to say about the characters, since the only one that had true depth was Man Wol. She was the centre of the drama and IU did an amazing job representing her development and gradual change. Chang Sung could have worked way better if it wasn't for Chung Myung. All the rest of the characters we simply did not spend enough time with, to truly care about. I must say, Sanchez was my favorite and he was the breath of fresh air. Kim Seon Bi/Choi Seo Hee/Ji Hyun Joong aka when writers do not care.Out of all their stories, only Seo Hee's had some depth to it. Kim Seon Bin's story was extremely random, there were close to no hints about his previous life so I did not even care to speculate what happened to him. Hyun Joong's past life story had the least sense. How did his sister not recognize that the guy taking care of her was not her brother. How did his family not ask any questions, why did they recognize her and not him? You could say it was a war so they did not see him for a long time, but the same would apply to the sister. Hong sisters did not care enough about those characters to spend time to truly explain and develop their stories. They had the material for a good 8 episodes of Man Wol's side and had to fill the rest with random storylines. I could not feel emotional about them all leaving at the end, because all I could think about was: None of it makes any sense.I also believe it would be better to start sending away the characters around episode 10-12, and not just have them all gone in the last 2 episodes. We could slowly see how Man Wol is realizing all the people she loves and cares about are gone and moving on to the afterlife. How the ones that stay behind struggle with the loss. We would see her being more concerned about how will Chan Sung deal in the future when she is gone. Them gradually leaving would have more impact on both the characters and the storyline.Chan Sung/Chung Myung aka the failed romanceWhile I enjoyed Chan Sung at the beginning, the moment we got more scenes with Chung Myung and the past story developed into something interesting, I could not focus on the present. Chan Sung was simply a boring character that was there only for Man Wol's story to develop and he had nothing going on for himself. When we met another male character that had a past romantic relationship with Man Wol, but also was its own character, it was easy to forget our male lead. At the end of the day I wished for more flashbacks and less present plot. And I would rather have them as friends than as romantic partners.Kim Yoo Na aka no one truly cares about anythingWhile I enjoyed Yoo Na, I do believe they should have made her a more tragic character. Yet again, there was no depth to the story. Show me how much she struggles to fit in that new house, how she misses her old friends and family and how she is tired of pretending to be someone else. All the hotel cases aka when you try too hard to please the viewersI did not truly like any of the random hotel cases, but I hated some more than others. The most random one with the humans having sex in the hotel room to have some superior child in the future. I was truly confused why this plotline was in the drama.There were too many cases, so at the end, none of them was developed or complex. They tried to fit any genre (horror, crime, romance, melo, etc.) into the drama, just to make sure all viewers can find something they may like.Disney ending aka when you are afraid to commit to the tragedyNone of the characters involved in the drama had a truly tragic ending. Which was extremely unrealistic. It could be easily fixed. Make Yoona too late to say goodbye to Hyun Joong. After Seo Hee goes to the bridge, cut to the mother registering the baby with the father's surname because of the grandparents. Make the book about Seon Bi flop. I would even like for Chung Myung to vanish because he used all his energy looking after Man Wol. The Song sisters wanted to show us how sad, tragic, and emotional the feeling of loss is, but they did not want to show the truly ugly side of it. Because of that, the ending felt bland. Overall, during the whole watch, there was literally (and I truly mean it) only one time when I thought ""wow, this is a good writing, I finally feel the playoff"" and it was with how they used the Coffee Writer Dude. They spent just enough time for us to be curious about him and wonder what will happen to him, when he will go to the afterlife.At the end, Hong Sisters had an amazing idea, about an amazing character, and no idea what to do with the rest. Trying to fit too many stories of too many characters made this drama a... mess."
Hotel del Luna ,8.6,"Comedy, Fantasy, Horror, Romance",287,,2019.0,16,,134694.0,"Boss-Employee Relationship, Death, Flashback To Past, Ghost, Ghost-seeing Male Lead, Nice Male Lead, Rich Female Lead, Smart Female Lead, Strong Female Lead, Supernatural","Nestled deep in the heart of Seoul’s thriving downtown sits a curious hotel, the like of which no one has ever seen before. Old beyond measure, the building has stood for millennia, an ever-present testament to the fact that things are not always what they seem. Running this hotel is Jang Man Wol, a greedy, suspicious soul who has spent the past thousand years acting as the establishment’s CEO.
Bound to the hotel by a deity who keeps her there to save her from going berserk and self-destruction with rage, hatred and thirst for revenge. Her only hope of escape is if she can let go of her resentment and hatred and find love. Trapped in her resentment for a betrayal, Man Wol is doomed to spend all of eternity running this odd establishment, catering to the needs of the most peculiar clientele.
Things take an interesting turn when Goo Chan Sung shows up. Once the youngest assistant manager ever to work at a multinational hotel corporation, Chan Sung finds himself forced to manage the Hotel del Luna because of a deal his father made with Man Wol years ago. Excellent with managing money, he starts to put Jang's excessive spending and disastrous financial situation in order; that may be exactly what this odd establishment and its cursed CEO needs.","IU, Yeo Jin Goo",,
House of Bluebird,,,6037,2015.0,2015.0,50,,,,"A drama that tells the story of strong bond between the members of a family even though they are not blood-related. This drama also portrays the hope of parents toward their children’s success and how difficult for fresh university graduates to get respectable and well-paid jobs.Kim Ji Wan plays a reliable young man who brims with confidence. Meanwhile, Han Eun Soo plays a young woman with a bright personality. ","Chae Soo Bin, Choi Myung Gil, Jung Jae Soon, Kyung Soo Jin, Lee Joon Hyuk, Lee Sang Yeob",KBS2,"House of Bluebird is your typical morning Korean drama which follows a near perfect role model sort of protagonist. Kim Ji Wan is good looking, smart, and has a strong sense of justice. However, as usual, he is also poor, jobless, with no proper educational background. Simply put, he is a perfect human being except for his poor status. On the other hand, Jang Hyeondo, his friend is the opposite, a not so perfect human being who comes from a rich household, and is the son of the president of a large company. The story mainly revolves around these two households and the complex and hidden past history between them.While the story is rather stereotypical, and is played out mainly for the shock factor as with most morning dramas, it is executed rather well, and this is testament to a very strong main cast. In fact, it was this main cast by which I first decided to watch this drama. Lee Joon Hyuk, probably most well known for his appearance in Stranger, plays the protagonist, and while he doesn't have much wiggle room here as he plays a rather boring, dense, yet perfect human being, he has some noteworthy highlights in the drama.Lee Sang Yeob, I only really remembered from Running Man, plays the typical spoilt rich kid, and acts as a great comedic relief in all situations. His character development throughout the story is a focus throughout, and is probably the highlight of the entire drama. His acting, while sometimes over the top, may just be a result of the role and genre he's been put in.Kyung Soo Jin, who I briefly remembered from Weightlifting Fairy Kim Bok Joo, plays the role of almost a support role, as her story barely has anything to do with the overarching plot. That said, her story, romance aside, was probably the most relatable and had the most tear jerking moments for me personally. Chae Soo Bin, who I saw on I'm not a Robot and Where Stars Land was probably my biggest reason for starting this drama. She plays the role of a very cheerful and strong sort of character, who bottles up most of her sad feelings. She is probably the biggest victim and most affected character of the plot.The best moments in my opinion were not in the main story, rather it was the cute interactions between these characters, and the funny moments unravelled as a result. Each character each has a loveable trait about them, despite how frustated I was at them as part of the overarching plot. I was especially surprised by how much I liked the character of Jeong Soo Kyung, Hyeondo's mother.The story does suffer from a lot of pacing issues, and some plot holes, but this is what I expected from a morning drama. It didn't get too complex in my opinion, and I thought it was rather well executed throughout. What it was though was a nice, relaxing watch, with some enjoyable and funny scenes stacked throughout the middle of it to keep me interested enough to finish the series.The music was great in my opinion, with some recycled one hit wonders, and a memorable main opening track (probably because I listened to it 50 times.) I found myself laughing out loud at the overexaggerated dramatical music on some scenes, but I didn't really think that was a bad thing. The OST in general is superb.All in all, this drama is probably not for someone who's expecting the next amazing concept or script. It is a generally light hearted, feel good, funny, over the top, and relaxing watch for people who need a break from the usual intense, or typical rom-com genre. Coupled with an amazing cast, I would definitely recommend this for people who want an intro to the morning drama genre."
How Are You Bread,,,8776,2020.0,2020.0,5,,,,"A genius patissier, with talent far beyond his years, Han Do Woo is a chef unparalleled in the world of pastries. The master chef of his own bakery, it’s often been said that if one is lucky enough to enjoy one of Do Woo’s pastries, one’s own wishes are sure to come true. With such rumors floating around, it doesn’t take long for Do Woo’s mysterious bakery to become the talk of the town.As the buzz around Do Woo and his bakery grows, it’s only a matter of time before he catches the media’s eye. A writer for the hit baking show, “Top 3 Bakery Kings”, Noh Mi Rae, is determined to get Do Woo to join the cast. There’s just one problem, Do Woo wants nothing to do with her or her show.With her job on the line, Mi Rae tries anything and everything to get Do Woo to make an appearance on her show. Infiltrating the bakery, Mi Rae’s desperation leads her down an unexpected path as her attempts to woo Do Woo slowly begin to cause her own heart to flutter. Could all this time spent with the mysterious patissier eventually lead to love?(Source: Viki)","Han So Young, Kang Pil Sun, Kim Seo Ra, Lee Se Young, Moon  Ji Yoon, Suho",Naver TV Cast Viki,""" How are you bread "" had an enjoyable start, but the second part was just okay.First of all, the drama had a nice feel to it, fluffy, feel good, cute and light (well, at least the first part). And, as it is only five episodes, the drama did a nice job with presenting the story, although they added too many plot lines to be able to complete them all properly. For example, the drama with the father and his relationship with his son, as well as the mystery with the rice secrets were rushly concluded and felt out of the blue. The drama had an odd twist to it as well, with the whole mystery and fantasy part was not that well made, probably needed more time to get properly presented. The romance didn't have time to mature either. But the competition part it was nice and the deserts looked tasty. The performances were good too, though that daughter character was a bit overdoing her mean character.So, overall, five out of ten."
How to Be Thirty,,,8205,2021.0,2021.0,15,,,,"Follows the lives of three friends in their thirties.Seo Ji Won is a budding web-based cartoon author who decides to devote her undivided attention to her craft – forsaking love in favor of her career. And her decision pays off. By the time she is 25, she is a published author. Now, aged 30, she has become a well-recognized writer with scores of devoted readers. But turning her back on romance turns out to be harder than she first thought when Lee Seung Yoo, her first love from her middle school days, returns to the scene to turn her world upside down.And things get more complicated when the film director Cha Do Hoon – who has been charged with adapting Seo Ji Won’s web-based series for the screen – confides in her and appears keen to strike up a close friendship. At the same time, her friends Lee Ran Joo, who works as a radio announcer, and Hong Ah Young, who runs a cafe, are also facing hard times. One day, Hong Ah Young's ex-boyfriend who hurt her in the past appears in front of her once again. Meanwhile, Hyeong Joon Young, who had a one-night stand with Lee Ran Joo and now has feelings for her, works part-time at Hong Ah Young's cafe.(Source: Viki, AsianWiki)~~ Adapted from the webtoon ""Born in 85"" (85년생) by Hye Won (혜원).","Ahn Hee Yeon, Baek Sung Chul, Cha Min Ji, Jung In Sun, Kang Min Hyuk, Song Jae Rim",Daum Kakao TV Viki,"tried too hard  this drama tried too hard on three aspects, one it wanted to be ""mature"", two it wanted a cute ""fluffy"" romance and three it wanted to pull a move I actually like so I didn't mind xDone; it's as if cheating and complicated romance makes it more mature. on the other hand this also wanted to show that 30 year olds are still clueless and naivethe thing is, the ML was toxic from the start, he played push and pull with the FL while he was in a relationship. so not only did he keep confusing the FL, he then proceeds to blame her for everythingafter she took courage to confess and they spend a night together, he doesn't call! then he goes to her house unannounced and yells at HER for not calling! but even worse after he made her insecure, taken aback, he proceeds to tell her I like you.that's legit toxic behavior, the problem didn't even start with the fact that he was already dating, he never respected womenafter a while they show how all his life girls confessed to him 1st, then he only dated his gf just becasue she was yet another fangirl, so even if their relationship was never serious, it was not an excuse to pursue the FL and confuse her even more while they were ""dating""here the writer wanted that ""1st loves don't work out"" with a touch of makjang so I actually liked that message xDthe 2nd problem was the second couple, that dude was 21 pretending to be 24 but acted like a 15 year old! I have nothing against age gaps, hani's character too needed a cutie more than a controlling ""oppa"", but this was a severe case of miscast, I could take his actions, but I could not take the aegyo or the way he talked, I could not believe a 30 year old wants that... there's a difference between age gap and mental gap, they could have a 10 year gap and still match intellectuallythe 3rd part was the ""2nd lead gets the girl"", it's a thing with song jaerim xD I actually not only preferred him, but I'm all on board the ""get rid of the jerk ML and choose the sweetie 2ML"" :) a good point would be that this was short but the bad point would be this show repeated scenes way too much ;)"
How to Buy a Friend,,,3147,2020.0,2020.0,8,,,,"Rumors surround Don Hyuk, a highly praised high school fighter, after his girlfriend’s sudden suicide. Plagued by the trauma he is quick to fight if someone even mentions her name, landing him in juvenile detention. After his release, he returns to school where he comes across a poem written by Chan Hong, a particularly average student who has a knack for writing. Eventually, Don Hyuk discovers a clue about his girlfriend’s death and approaches Chan Hong to help him investigate, and in exchange, he will serve as Chan Hong’s personal bodyguard. This contractual relationship entangles them both in a series of dramatic events as they try to uncover the truth behind the suicide.(Source: KOCOWA)~~ Adapted from the webtoon with the same name by Kwon Laad.","Cho Yi Hyun, Kim So Hye, Lee Shin Young, Min Do Hee, Oh Hee Joon, Shin Seung Ho",KBS2,"my favorite characters were Kyung Po, Don Hyuk, Jung Hee and Park Choong Jae. the acting overall was nice, but the  main characters felt flat.also, the romance was unnecessary for the 2 mains and Kyung Po (honestly he deserved better), he was the one who befriended the ""ninja"" no one saw, but still they did not appreciated him and made shallow remarks about his looks.also, since they were ""young and naive"" I'd say the flat romance could be overlooked, but it'd have been better as just ""unexpected friendships"".the plot about friendship and youth was solid, but the delivery was lacking. tbh even though it's only 4 one hour eps, it felt too long and I found myself playing at my phone most of the time.and basically the mystery part was exactly what it looked like in the 1st ep, so they wasted alot of time ""trying to find the truth"". the ost was nice and I never rewatch things ;p"
How to Deal With First Love,,,47530,2020.0,2020.0,12,,,,,"Lee Song Kyung, Lee Won Hee, Park Ha Eun, Park Ji Soo",Naver TV Cast,
How to Hate You,,,3156,2019.0,2019.0,6,,,,"The drama follows the dating adventures of Oh Mi Ri, a college freshman who finds herself struggling to navigate love and friendship on campus.","Ahn Yu Jeong, Kim Ji In, Kim Yoo Jin, Lee Jong Won, Na Jae Min, Tony Ahn",jTBC,"The thing that bothered me about Method to hate you wasn't that it was cheesy or cliche. Choosing to watch it you kind of know what you're getting into, as the short length and the fact that it is adapted from a webtoon with a college love story theme kind of give out hints of what is yet to come. My concern however was that they didn't manage the pace very well as well as the ending that was left open. Other than that, the story was cute and I enjoyed the love story, although it was predictable. As for Jaemin, I wasn't really expecting him to be good, but his performance was decent, although he didn't give me the cold male lead vibes. Rather, he was cute and the kind you wanted to protect. So, 6 out of 10 for this short drama."
