,Title,Year,Episodes,Author(s),Kdrama Rating,Kdrama Genres,Kdrama Tags,Kdrama Watchers,Kdrama Popularity,Kdrama Cast,Kdrama Synopsis,WE Creators,WE Genre,WE Rating,WE Views,WE Likes,WE Engagement,WE Subscribers,WE Popularity,WE Synopsis
344,Duty After School,,,,,,,,,,,Ilkwon Ha,sci-fi,9.67,7411616,518572,0.07,175893,0.005,What would you do if your school's extracurricular activity was a mandatory military service amidst an actual war? A class of students is turned into a platoon of soldiers to fight against unknown slime-like objects.
345,Flower Boys Next Door,,,,,,,,,,,,,,,,,,,
346,Gangnam Beauty,,,,,,,,,,,,,,,,,,,
347,A Girl Who Sees Smells,,,,,,,,,,,,,,,,,,,
348,Go Back (TV series),,,,,,,,,,,,,,,,,,,
349,The God of High School,,,,,,,,,,,Yongje Park,action,9.7,792773286,31675143,0.04,2935039,0.553,"Mori Jin is a high school student and Taekwondo specialist who enters ""The God of High School,"" a fighting tournament that promises the winner anything they want. What began as a competition to seek out the best high school fighter soon reveals itself to be part of a much greater plot that goes beyond Mori's wildest imagination. What will he give to become a true god?"
350,Hell Is Other People (TV series),,,,,,,,,,,,,,,,,,,
351,Hellbound (TV series),,,,,,,,,,,,,,,,,,,
352,Hogu's Love,,,,,,,,,,,,,,,,,,,
353,Hope: Kitai Zero no Shinnyu Shain,,,,,,,,,,,,,,,,,,,
354,"Hyde Jekyll, Me",,,,,,,,,,,,,,,,,,,
355,Imitation (TV series),,,,,,,,,,,,,,,,,,,
356,Island (South Korean TV series),,,,,,,,,,,,,,,,,,,
357,Item (TV series),,,,,,,,,,,,,,,,,,,
358,Joseon Attorney,,,,,,,,,,,,,,,,,,,
359,Kingdom (South Korean TV series),,,,,,,,,,,,,,,,,,,
360,Knight Flower,,,,,,,,,,,,,,,,,,,
361,Last (TV series),,,,,,,,,,,,,,,,,,,
362,The Law Cafe,,,,,,,,,,,,,,,,,,,
363,Let's Fight Ghost (Thai TV series),,,,,,,,,,,,,,,,,,,
364,Love Revolution (web series),,,,,,,,,,,,,,,,,,,
365,Lovely Runner,,,,9.0,"Comedy, Fantasy, Music, Romance","Age Gap [Real Life], Butterfly Effect, Determined Female Lead, Famous Male Lead, Love At First Sight, Passionate Male Lead, Past And Present, Second Chance, Time Altering, Time Travel",95003,-0.053,"Byeon Woo Seok, Hong Seung Hee, Jung Suk Yong, Kim Hye Yoon, Lee Je Hoon, Lee Seung Hyub, Song Geon Hee, Tang Jun Sang","In the glitzy realm of stardom, Ryu Seon Jae shines as a top-tier celebrity, captivating the spotlight since his debut. Despite the facade of a perfect life, the demanding nature of the entertainment industry has left him utterly exhausted. Im Sol, an ardent admirer, holds an affectionate love for Ryu Seon Jae. A childhood accident derailed her dreams, yet the solace found in Ryu Seon Jae's music on the radio transformed her into an unwavering fan.",,,,,,,,,
366,"Marry Me, Mary!",,,,,,,,,,,,,,,,,,,
367,Moving (South Korean TV series),,,,,,,,,,,,,,,,,,,
368,My First Love (TV series),,,,,,,,,,,,,,,,,,,
369,"My Lawyer, Mr. Jo 2: Crime and Punishment",,,,,,,,,,,,,,,,,,,
370,Navillera (TV series),,,,,,,,,,,,,,,,,,,
371,Nevertheless (TV series),,,,,,,,,,,,,,,,,,,
372,No Home,,,,,,,,,,,,,,,,,,,
373,"Noble, My Love",,,,,,,,,,,,,,,,,,,
374,Omniscient Reader's Viewpoint,,,,,,,,,,,,,,,,,,,
375,Orange Marmalade (TV series),,,,,,,,,,,,,,,,,,,
376,Pyramid Game (TV series),,,,,,,,,,,,,,,,,,,
377,Return of the Blossoming Blade,,,,,,,,,,,"Biga, LICO, SEHON, UMKY",action,9.86,69807231,6477821,0.093,806701,0.052,"When Cheongmyeong of the Mount Hua Sect awakens a hundred years in the future, his last memories are of a bloody battle against the Leader of the Demonic Cult, the evil Cheonma. The battle almost saw the end of the Ten Great Sects of ancient China, when Cheongmyeong ended the hard-fought struggle by striking down Cheonma. Soon after, he succumbed to his wounds, filled with regret at their pyrrhic victory. All is not lost, however, as he awakens to his second chance at life. Shocked to find his beloved Mount Hua Sect reduced to a mere shadow of itself in the present day, Cheongmyeong embarks on a journey to restore Mount Hua to its former glory."
378,Romance 101,,,,,,,,,,,Namsoo,romance,9.84,83613204,10789520,0.129,900960,0.065,"Bareum's planner might be full, but one thing she desperately needs in her diary is a date. When she is lured into joining a programming club by her friend's hot coworker, it looks like there might be hope for her. But will her inexperience lead to her downfall? And why does she keep running into his bad-tempered friend instead?"
379,Rugal (TV series),,,,,,,,,,,,,,,,,,,
380,Save Me (South Korean TV series),,,,,,,,,,,,,,,,,,,
381,Secret Relationships,,,,,,,,,,,,,,,,,,,
382,A Shoulder to Cry On (TV series),,,,,,,,,,,,,,,,,,,
383,A Simple Thinking About Blood Type,,,,,,,,,,,,,,,,,,,
384,Solo Leveling,,,,,,,,,,,,,,,,,,,
385,Songgot: The Piercer,,,,,,,,,,,,,,,,,,,
386,The Sound of Your Heart (TV series),,,,,,,,,,,,,,,,,,,
387,Study Group (TV series),,,,,,,,,,,,,,,,,,,
388,Sweet Home (TV series),,,,,,,,,,,,,,,,,,,
389,Tale of Fairy,,,,,,,,,,,,,,,,,,,
390,Taxi Driver (South Korean TV series),,,,,,,,,,,,,,,,,,,
391,Tomb Raider King,,,,,,,,,,,,,,,,,,,
392,Tomorrow (South Korean TV series),,,,,,,,,,,,,,,,,,,
393,Tower of God,,,,,,,,,,,SIU,fantasy,9.86,1247627442,64481279,0.052,4125117,0.883,What do you desire? Money and wealth? Honor and pride? Authority and power? Revenge? Or something that transcends them all? Whatever you desireâ€”it's here.
394,True Beauty (South Korean TV series),,,,,,,,,,,,,,,,,,,
395,Vigilante (TV series),,,,,,,,,,,,,,,,,,,
396,We Broke Up (web series),,,,,,,,,,,,,,,,,,,
397,Weak Hero,,,,,,,,,,,"RAZEN, SEOPASS",action,9.84,241221208,17672673,0.073,1562274,0.176,"Once the bullies target you, it's game over. The school is run by tyrants whose favorite hobby is tormenting the weakest kids in class. But then Gray arrived. This mysterious new student threatens to dismantle the established order. He may be small in stature, but his calculative and brutal fighting leaves unsuspecting opponents lying on the floor begging for mercy. Now the school's toughest bullies have to scramble to take down this new and unusual hero."
398,Welcome (TV series),,,,,,,,,,,,,,,,,,,
399,Welcome to Convenience Store,,,,,,,,,,,,,,,,,,,
400,The Witch (TV series),,,,,,,,,,,,,,,,,,,
401,The Sound of Magic: Annarasumanara,,,Ilkwon Ha,,,,,,,,Ilkwon Ha,drama,9.74,13938739,973945,0.07,391894,0.01,"Now a major adaptation on streaming.
When she was little, Yun Ai dreamed of becoming a magician. But in reality, she's just a high school student who can't even afford new socks. After meeting a mysterious magician at a carnival, she decides to follow her dream."
402,Money Game (The 8 Show),,,BAE jin soo,,,,,,,,BAE jin soo,thriller,9.07,3450184,319144,0.093,104934,0.003,"The original story behind The 8 Show on Netflix.
Eight participants, 100 days, and a shared pot of money amounting to 44.8 billion won (around 38 million USD). This is Money Game, a reality TV show, where participants try to spend as little as possible to walk away with as much as they can. Marooned in a specially designed TV set with nothing but a set of clothes and a rule book, every item they purchase is 1,000 times the original price. How much money will the participants manage to keep?"
403,ORANGE MARMALADE,,,Seokwoo,,,,,,,,Seokwoo,romance,9.67,129098106,5100750,0.04,1034195,0.09,People are no longer afraid of vampires but that doesn't stop humans from discriminating against them. Can Mari Baek hide her identity when she falls in love with a popular boy who hates vampires?
404,My ID is Gangnam Beauty!,,,Maenggi Ki,,,,,,,,Maenggi Ki,drama,9.43,15010051,1584028,0.106,360619,0.012,"A new school, new friends, new romance, and a new face?! After going through major plastic surgery, freshman Mirae is ready for a fresh start. At her university, she becomes recognized as a pretty yet somewhat unnatural “Gangnam beauty.” However, all Mirae wants is to have a normal campus life without being judged by her looks. Will she be able to adjust well to the new environment and find the courage to live the life of her dreams?"
405,Nevertheless,,,Jeongseo,,,,,,,,Jeongseo,romance,9.32,16560752,1254641,0.076,575700,0.012,"What happens when a girl who wants to date but doesn't believe in love meets a guy who likes to flirt but thinks relationships are a drag? That's how it is for Nabi and Jae-eon, two art students who meet in college and develop a strong connection -- inspired by butterflies. As they get to know each other and their relationship progresses, they'll face the early stages of attraction and the ups and downs of dating. This story will make you long to be in a relationship -- even when you know it won't be easy."
406,Odd Girl Out,,,Morangji,,,,,,,,Morangji,drama,9.83,205283404,24029822,0.117,1002073,0.157,"After a successful winter break makeover, Nari is finally ready for her high school debut. But somehow, she ends up friends with the three prettiest girls in school! Follow Nari as she tries to navigate her brand new high school life surrounded by beauties."
407,The Girl Who Sees Smells,,,Maanchwee,,,,,,,,Maanchwee,fantasy,9.34,4700000,676474,0.144,153456,0.004,"Now a major (K-Drama) adaptation.
After Sae-ah loses her parents to arson, the accident leaves her with the ability to see smells. Another fire puts her in the path of police officer Pyeongan Kim. Though he doesn’t believe in her ability at first, the two team up to solve cases, and he quickly realizes the power Sae-ah holds. Although her ability helps her solve all kinds of crimes, she’s yet to solve the biggest mystery of them all: who killed her parents?"
408,A Man's Man,,,Dogado,,,,,,,,"Dogado, Ha Neulso, Lucas",drama,9.82,11054652,1364826,0.123,137431,0.009,"Yuhyeon becomes the youngest CEO of Hansung, a successful electronics company built on toxic work culture, but nobody he cares about is there to celebrate with him. After a night of drinking and wondering if he could change the past, he wakes up the next morning, 20 years younger at the beginning of his career. Armed with the experience and insights that made him CEO, Yuhyeon begins to revisit broken relationships and battle the enablers of Hansung's cut-throat work environment. But he does not yet know how changing the past will affect his future..."
409,Hell is Other People,,,Yong-Ki Kim,,,,,,,,Yong-Ki Kim,thriller,9.56,8545951,860564,0.101,210663,0.007,"Now a major adaptation on streaming.
Jongu Yun is a young man in his 20s who moves to Seoul and rents a cheap room in a run-down building because he is low on money. The place is dilapidated and the residents are creepy, but Jongu decides to stay until he has enough money to move elsewhere. However, when mysterious events occur, Jongu realizes that the residents may be more suspicious than they seemed."
410,The Girl Downstairs (Doona!),,,MIN SONGA,,,,,,,,MIN SONGA,romance,9.41,43541389,4106335,0.094,655611,0.033,"When Joon moves into his new apartment on his first day of college, he wasn't expecting beautiful ex-celebrity Doona (Duna) to be living downstairs. Joon tries to avoid her at first, but finds himself growing more and more curious about her mysterious life."
411,Lookism,,,Taejun Pak,,,,,,,,Taejun Pak,drama,9.78,940964078,55944641,0.059,3569380,0.673,"Daniel is an unattractive loner who wakes up in a different body. Now tall, handsome, and cooler than ever in his new form, Daniel aims to achieve everything he couldn't before. How far will he go to keep his body... and his secrets?"
412,Marry My Husband,,,sungsojak / LICO,,,,,,,,"LICO, sungsojak",romance,9.65,168117087,10719984,0.064,2472873,0.122,"When Jiwon, a 37-year-old cancer patient, walks in on her husband and best friend, she realizes her whole life has been a lie. What’s worse, she dies a tragic death at the hands of her husband. Would things have been different if she had made different choices? Fortunately for Jiwon, she is given the chance to rewrite her fate when she is reincarnated as her younger self. This time, she vows to live a happy life. But first comes revenge. Her plan? To marry off her now former best friend to her lying, cheating husband."
413,Reborn Rich,,,JP / BG,8.6,"Business, Drama, Fantasy, Political","Corruption, Family, Family Conflict, Flashback To Past, Hatred, Office Setting, Power Struggle, Time Travel, Transmigration, Workplace Setting",31307,-0.214,"Lee Sung Min, Shin Hyun Bin, Song Joong Ki","Yoon Hyun Woo is a devoted, hard-working, and loyal secretary to the Soonyang chaebol family, which runs the lucrative Soonyang Group business empire, founded by Jin Yang Cheol. During a power struggle between Jin Yang Cheol's children for control of the empire, Hyun Woo is ruthlessly betrayed and killed under the orders of an unknown member of the chaebol family. Miraculously he wakes up as a kid inside the body of the youngest member of the family – Jin Do Jun.
After he realizes what has happened, Yoon Hyun Wo plots to use his new “identity” to formulate a hostile takeover of the group – and punish the people who killed him. But, will the cold-blooded and money-hungry CEO of Soonyang Group, one who firmly believes in right of primogeniture, be so easy to win over or conquer? Will Hyun Woo be able to wrest the reins from Jin Yang Cheol's children? And what role will be played in all this by a dogged public prosecutor named Seo Min Young, nicknamed “Soonyang Group Grim Reaper”?","BG, JANGABA, JP, SK",drama,9.69,15884465,1358611,0.086,271692,0.012,"Having started from the bottom and worked his way to the top, Hyeonwoo finds himself betrayed by the royal family of Soonyang Group, the largest corporation in South Korea, after providing 13 years of dedicated service. Just when he thinks all his efforts have been made in vain and prepares to embrace his death, he suddenly wakes up in the body of Dojun Jin, the youngest grandson to the founder and CEO of Soonyang, having traveled back in time. Having been granted this second chance, Hyeonwoo begins to lay the foundation for his revenge against his evil relatives."
414,Sixth Sense Kiss,,,Got W / Jocobong,,,,,,,,"Got W, Jocobong",romance,9.7,87236627,6586703,0.076,1136972,0.064,"Yesul Hong has a secret -- when she kisses someone, she can see flashes of their future. It's hard to believe she's ever met the right guy when she can't even see herself in their destiny. She doesn't get much use out of her ability until one day, when she accidentally kisses her evil boss, Minhu Cha, who's got a secret of his own. To her utter shock, she sees a vision of herselfâ€¦ in bed with him! As if that's not confusing enough, she shows up to work the next day to find out that her first love has been hired to work in her department. Will she be able to survive working with the man she wished had been her destiny and the man she's destined to be with?"
415,So I Married the Anti-Fan,,,,,,,,,,,"Eunjeong Kim, Jaerim",romance,9.44,39901582,3669080,0.092,818214,0.03,"How far would you go to take down the person you hate most? With no house, no job, and nothing left to lose, Geunyeong Lee is willing to risk it all to bring down the country's national treasure, Korean superstar Who Joon. But once the two really get to know each other, bringing him down suddenly becomes a lot harder. Will she be able to ruin him once and for all after she learns the truth about the man behind the popstar?"
416,When the Phone Rings,2024,,,,,,,,,,,,,,,,,,
417,Cinderella At 2AM,2024,,,,,,,,,,,,,,,,,,
418,History of Losers,,,,,,,,,,,,,,,,,,,
419,The Year We Turned 29,,,,,,,,,,,,,,,,,,,
420,The Witch,,,,,,,,,,,,,,,,,,,
421,Jung Nyeon,,,,,,,,,,,,,,,,,,,
422,Delightful Outcast,,,,,,,,,,,,,,,,,,,
423,Haesi's Shinru,,,,,,,,,,,,,,,,,,,
